reg,hosp,rea,rad,dc
Guadeloupe,4590,1630,94,19
Martinique,6274,1892,101,17
Guyane,20175,3264,1475,53
La Réunion,6752,1084,204,7
Mayotte,7816,1586,442,28
Île-de-France,1947531,270172,30741,7699
Centre-Val de Loire,161379,18652,2384,574
Bourgogne-Franche-Comté,157216,25713,4111,1065
Normandie,107566,15588,1899,447
Hauts-de-France,408003,58105,7251,1941
Grand Est,685492,88311,13107,3660
Pays de la Loire,108982,13885,2408,490
Bretagne,63873,9574,1382,269
Nouvelle-Aquitaine,97669,20716,2334,432
Occitanie,103045,26650,3090,523
Auvergne-Rhône-Alpes,397010,61157,8323,1776
Provence-Alpes-Côte d'Azur,278531,39674,6350,988
Corse,11462,1918,258,59
